Age_Group,Gender,Department,Job_Level,Tenure,Work_Arrangement,Employment_Type,Training_Recency,Role_Specific_Training,Self_Rated_Knowledge,Phishing_Score,Phishing_Pass,Password_Change_Freq,MFA_Use,Personal_Device_Use,Report_Suspicious_Email,Admin_Privileges,Security_Culture_Perception,Stress_Level,Time_Pressure,IT_Support_Confidence,Incidents_Caused_Category,Incidents_Raw_Count,Security_Behavior_Tags
45-54,Male,Operations,Intermediate,1-3 yrs,On-site,Permanent,3-6 mo,Yes,3,84,Yes,Always,Always,Rarely,Sometimes,No,3,1,2,3,0,0,"Uses_MFA,Early_Password_Change"
25-34,Male,R&D,Manager,< 1 yr,Hybrid,Permanent,< 3 months,No,2,48,No,Sometimes,Always,Often,Sometimes,Yes,3,3,2,3,2-3,3,"Uses_MFA,Personal_Device_Use,Admin_Priv"
18-24,Male,Operations,Entry,3-5 yrs,On-site,Permanent,6-12 mo,No,4,57,No,Rarely,Always,Often,Always,No,4,4,4,4,2-3,2,"Uses_MFA,Reports_Phishing,Personal_Device_Use"
25-34,Female,R&D,Entry,5-10 yrs,On-site,Permanent,> 12 mo,No,3,67,Yes,Sometimes,Sometimes,Rarely,Never,No,4,2,4,1,2-3,2,Uses_MFA
25-34,Prefer not to say,IT,Director,5-10 yrs,Hybrid,Permanent,3-6 mo,No,5,68,Yes,Sometimes,Always,Sometimes,Rarely,No,4,4,4,2,2-3,2,"Uses_MFA,Personal_Device_Use"
55+,Female,R&D,Intermediate,1-3 yrs,Fully Remote,Permanent,3-6 mo,Yes,3,36,No,Often,Always,Always,Often,No,3,4,2,5,0,0,"Uses_MFA,Early_Password_Change,Reports_Phishing,Personal_Device_Use,Remote_Work"
25-34,Female,Operations,Intermediate,1-3 yrs,Hybrid,Permanent,< 3 months,Yes,1,50,No,Sometimes,Always,Sometimes,Rarely,No,4,5,3,2,1,1,"Uses_MFA,Personal_Device_Use"
45-54,Female,IT,Intermediate,5-10 yrs,On-site,Permanent,< 3 months,Yes,5,90,Yes,Never,Always,Always,Sometimes,No,3,3,4,4,0,0,"Uses_MFA,Personal_Device_Use"
55+,Female,HR,Intermediate,5-10 yrs,On-site,Permanent,> 12 mo,No,4,42,No,Sometimes,Always,Often,Sometimes,Yes,5,4,4,3,2-3,2,"Uses_MFA,Personal_Device_Use,Admin_Priv"
35-44,Prefer not to say,IT,Executive,5-10 yrs,Fully Remote,Permanent,6-12 mo,No,4,61,Yes,Sometimes,Always,Sometimes,Rarely,No,4,3,5,2,0,0,"Uses_MFA,Personal_Device_Use,Remote_Work"
25-34,Male,Sales,Intermediate,1-3 yrs,On-site,Permanent,< 3 months,Yes,4,74,Yes,Sometimes,Always,Rarely,Rarely,No,3,1,3,3,0,0,Uses_MFA
25-34,Male,Operations,Manager,5-10 yrs,Fully Remote,Permanent,< 3 months,Yes,4,58,No,Rarely,Always,Always,Always,No,3,2,4,3,1,1,"Uses_MFA,Reports_Phishing,Personal_Device_Use,Remote_Work"
35-44,Male,Finance,Intermediate,1-3 yrs,On-site,Permanent,< 3 months,Yes,4,56,No,Always,Always,Rarely,Never,No,4,4,2,4,>3,4,"Uses_MFA,Early_Password_Change"
35-44,Male,Operations,Director,5-10 yrs,On-site,Permanent,< 3 months,No,3,79,Yes,Sometimes,Always,Sometimes,Often,No,2,4,5,3,0,0,"Uses_MFA,Reports_Phishing,Personal_Device_Use"
25-34,Male,Sales,Executive,3-5 yrs,Hybrid,Permanent,3-6 mo,No,4,85,Yes,Never,Always,Never,Sometimes,No,3,2,2,5,0,0,Uses_MFA
25-34,Female,IT,Intermediate,< 1 yr,Fully Remote,Permanent,3-6 mo,No,4,64,Yes,Sometimes,Always,Rarely,Sometimes,No,4,4,4,3,1,1,"Uses_MFA,Remote_Work"
25-34,Male,IT,Intermediate,3-5 yrs,On-site,Permanent,> 12 mo,No,3,44,No,Often,Always,Always,Rarely,No,5,3,4,2,1,1,"Uses_MFA,Early_Password_Change,Personal_Device_Use"
35-44,Male,IT,Entry,< 1 yr,On-site,Permanent,> 12 mo,Yes,3,44,No,Often,Always,Sometimes,Often,No,3,5,5,3,>3,4,"Uses_MFA,Early_Password_Change,Reports_Phishing,Personal_Device_Use"
25-34,Female,HR,Entry,5-10 yrs,Hybrid,Permanent,< 3 months,No,5,95,Yes,Sometimes,Always,Often,Always,No,3,2,3,1,0,0,"Uses_MFA,Reports_Phishing,Personal_Device_Use"
55+,Male,Other,Intermediate,1-3 yrs,Hybrid,Permanent,< 3 months,Yes,3,62,Yes,Sometimes,Always,Never,Always,No,3,2,5,1,0,0,"Uses_MFA,Reports_Phishing"
18-24,Male,IT,Intermediate,> 10 yrs,Fully Remote,Permanent,3-6 mo,Yes,3,55,No,Sometimes,Always,Always,Often,No,3,3,5,4,1,1,"Uses_MFA,Reports_Phishing,Personal_Device_Use,Remote_Work"
25-34,Female,Finance,Manager,1-3 yrs,Hybrid,Permanent,< 3 months,Yes,5,57,No,Rarely,Never,Sometimes,Always,No,3,4,2,3,2-3,2,"Reports_Phishing,Personal_Device_Use"
25-34,Male,R&D,Director,> 10 yrs,On-site,Permanent,3-6 mo,Yes,4,48,No,Always,Never,Sometimes,Sometimes,No,5,4,4,1,1,1,"Early_Password_Change,Personal_Device_Use"
25-34,Male,IT,Entry,1-3 yrs,On-site,Permanent,< 3 months,No,4,64,Yes,Often,Always,Rarely,Sometimes,No,3,2,2,4,0,0,"Uses_MFA,Early_Password_Change"
55+,Female,Operations,Intermediate,1-3 yrs,On-site,Permanent,6-12 mo,No,4,74,Yes,Sometimes,Always,Always,Sometimes,No,5,4,4,4,2-3,2,"Uses_MFA,Personal_Device_Use"
45-54,Female,Sales,Intermediate,1-3 yrs,Hybrid,Contractor,< 3 months,Yes,2,73,Yes,Rarely,Always,Rarely,Rarely,No,5,5,3,4,2-3,3,Uses_MFA
55+,Non-binary,IT,Entry,< 1 yr,Hybrid,Permanent,< 3 months,Yes,4,61,Yes,Sometimes,Always,Sometimes,Often,No,4,4,5,4,1,1,"Uses_MFA,Reports_Phishing,Personal_Device_Use"
18-24,Female,Operations,Executive,3-5 yrs,Hybrid,Permanent,< 3 months,Yes,4,45,No,Sometimes,Always,Rarely,Sometimes,No,1,4,1,4,0,0,Uses_MFA
45-54,Prefer not to say,Sales,Intermediate,3-5 yrs,Fully Remote,Permanent,3-6 mo,Yes,4,51,No,Always,Always,Rarely,Sometimes,Yes,4,3,4,1,2-3,2,"Uses_MFA,Early_Password_Change,Remote_Work,Admin_Priv"
35-44,Male,Finance,Manager,3-5 yrs,On-site,Permanent,3-6 mo,No,4,71,Yes,Rarely,Always,Sometimes,Always,No,3,2,3,4,0,0,"Uses_MFA,Reports_Phishing,Personal_Device_Use"
35-44,Female,Sales,Manager,3-5 yrs,Hybrid,Permanent,< 3 months,Yes,3,78,Yes,Always,Always,Often,Often,No,3,5,3,3,2-3,2,"Uses_MFA,Early_Password_Change,Reports_Phishing,Personal_Device_Use"
25-34,Male,IT,Entry,1-3 yrs,Hybrid,Permanent,6-12 mo,No,2,63,Yes,Sometimes,Always,Often,Sometimes,No,2,2,3,3,0,0,"Uses_MFA,Personal_Device_Use"
35-44,Male,Operations,Entry,< 1 yr,On-site,Permanent,> 12 mo,Yes,3,47,No,Sometimes,Always,Always,Always,No,5,4,5,1,1,1,"Uses_MFA,Reports_Phishing,Personal_Device_Use"
55+,Female,HR,Entry,1-3 yrs,Hybrid,Intern,6-12 mo,Yes,2,69,Yes,Often,Always,Rarely,Rarely,No,4,2,5,4,1,1,"Uses_MFA,Early_Password_Change"
25-34,Female,R&D,Manager,5-10 yrs,Hybrid,Permanent,6-12 mo,Yes,2,49,No,Sometimes,Sometimes,Sometimes,Always,No,3,3,3,3,2-3,2,"Uses_MFA,Reports_Phishing,Personal_Device_Use"
45-54,Male,Finance,Intermediate,> 10 yrs,Fully Remote,Permanent,< 3 months,Yes,5,37,No,Sometimes,Always,Never,Sometimes,No,3,4,5,3,2-3,2,"Uses_MFA,Remote_Work"
25-34,Male,Marketing,Entry,1-3 yrs,Fully Remote,Permanent,> 12 mo,No,3,52,No,Never,Always,Rarely,Always,No,4,2,3,4,0,0,"Uses_MFA,Reports_Phishing,Remote_Work"
35-44,Male,Other,Intermediate,> 10 yrs,Hybrid,Permanent,< 3 months,No,3,69,Yes,Often,Always,Sometimes,Often,No,5,2,4,2,0,0,"Uses_MFA,Early_Password_Change,Reports_Phishing,Personal_Device_Use"
25-34,Male,Operations,Intermediate,1-3 yrs,Hybrid,Permanent,3-6 mo,Yes,4,69,Yes,Rarely,Always,Rarely,Always,No,3,4,4,4,0,0,"Uses_MFA,Reports_Phishing"
25-34,Prefer not to say,HR,Entry,1-3 yrs,On-site,Permanent,< 3 months,Yes,4,85,Yes,Often,Sometimes,Rarely,Sometimes,No,3,3,3,1,>3,4,"Uses_MFA,Early_Password_Change"
45-54,Male,Marketing,Entry,< 1 yr,Hybrid,Contractor,3-6 mo,Yes,5,48,No,Always,Always,Never,Sometimes,No,3,5,3,5,2-3,2,"Uses_MFA,Early_Password_Change"
35-44,Female,Operations,Entry,3-5 yrs,On-site,Permanent,3-6 mo,Yes,3,67,Yes,Always,Always,Rarely,Sometimes,No,3,4,2,5,2-3,2,"Uses_MFA,Early_Password_Change"
25-34,Male,IT,Intermediate,> 10 yrs,Fully Remote,Permanent,< 3 months,No,3,79,Yes,Always,Always,Always,Sometimes,No,5,4,4,3,0,0,"Uses_MFA,Early_Password_Change,Personal_Device_Use,Remote_Work"
35-44,Male,R&D,Intermediate,3-5 yrs,Hybrid,Permanent,6-12 mo,Yes,3,65,Yes,Always,Always,Sometimes,Sometimes,No,4,4,4,4,0,0,"Uses_MFA,Early_Password_Change,Personal_Device_Use"
18-24,Female,Finance,Executive,5-10 yrs,Hybrid,Permanent,6-12 mo,Yes,3,58,No,Sometimes,Always,Never,Always,Yes,2,3,5,4,1,1,"Uses_MFA,Reports_Phishing,Admin_Priv"
25-34,Female,Marketing,Entry,< 1 yr,Hybrid,Contractor,3-6 mo,No,5,68,Yes,Always,Always,Rarely,Often,No,5,4,4,3,0,0,"Uses_MFA,Early_Password_Change,Reports_Phishing"
35-44,Male,IT,Intermediate,1-3 yrs,On-site,Permanent,3-6 mo,No,2,68,Yes,Always,Always,Always,Sometimes,No,3,4,1,4,>3,4,"Uses_MFA,Early_Password_Change,Personal_Device_Use"
18-24,Male,IT,Entry,< 1 yr,On-site,Permanent,6-12 mo,Yes,2,67,Yes,Sometimes,Always,Often,Sometimes,No,4,3,4,3,2-3,2,"Uses_MFA,Personal_Device_Use"
45-54,Male,Finance,Intermediate,1-3 yrs,Hybrid,Permanent,6-12 mo,Yes,2,47,No,Sometimes,Always,Always,Often,No,1,4,4,3,0,0,"Uses_MFA,Reports_Phishing,Personal_Device_Use"
25-34,Male,Marketing,Intermediate,1-3 yrs,Fully Remote,Permanent,6-12 mo,Yes,3,62,Yes,Always,Always,Always,Often,Yes,1,3,3,1,0,0,"Uses_MFA,Early_Password_Change,Reports_Phishing,Personal_Device_Use,Remote_Work,Admin_Priv"
18-24,Non-binary,Finance,Director,> 10 yrs,Fully Remote,Intern,< 3 months,No,3,89,Yes,Often,Always,Sometimes,Always,No,4,4,5,3,0,0,"Uses_MFA,Early_Password_Change,Reports_Phishing,Personal_Device_Use,Remote_Work"
25-34,Female,Sales,Entry,5-10 yrs,Hybrid,Permanent,6-12 mo,Yes,3,49,No,Sometimes,Always,Sometimes,Never,No,4,4,4,3,2-3,2,"Uses_MFA,Personal_Device_Use"
45-54,Male,Marketing,Director,3-5 yrs,Fully Remote,Permanent,> 12 mo,Yes,4,53,No,Never,Always,Sometimes,Never,No,5,4,3,3,0,0,"Uses_MFA,Personal_Device_Use,Remote_Work"
25-34,Male,Sales,Intermediate,5-10 yrs,Fully Remote,Permanent,> 12 mo,No,3,53,No,Never,Always,Never,Rarely,No,5,5,2,5,2-3,2,"Uses_MFA,Remote_Work"
35-44,Male,HR,Entry,< 1 yr,On-site,Permanent,< 3 months,Yes,5,22,No,Always,Never,Sometimes,Rarely,No,1,4,5,4,1,1,"Early_Password_Change,Personal_Device_Use"
35-44,Male,Operations,Intermediate,< 1 yr,Hybrid,Permanent,3-6 mo,Yes,2,83,Yes,Often,Always,Often,Rarely,Yes,5,3,3,1,1,1,"Uses_MFA,Early_Password_Change,Personal_Device_Use,Admin_Priv"
25-34,Female,Finance,Entry,3-5 yrs,Fully Remote,Permanent,> 12 mo,Yes,3,64,Yes,Often,Always,Always,Sometimes,No,4,2,5,4,1,1,"Uses_MFA,Early_Password_Change,Personal_Device_Use,Remote_Work"
18-24,Male,Finance,Manager,5-10 yrs,Fully Remote,Permanent,3-6 mo,Yes,4,60,Yes,Often,Always,Rarely,Always,No,1,4,3,1,0,0,"Uses_MFA,Early_Password_Change,Reports_Phishing,Remote_Work"
18-24,Male,IT,Entry,1-3 yrs,On-site,Permanent,3-6 mo,Yes,4,59,No,Often,Sometimes,Always,Often,No,3,5,2,4,2-3,2,"Uses_MFA,Early_Password_Change,Reports_Phishing,Personal_Device_Use"
18-24,Female,Operations,Manager,> 10 yrs,Fully Remote,Contractor,6-12 mo,Yes,2,35,No,Rarely,Always,Never,Often,No,3,3,4,3,0,0,"Uses_MFA,Reports_Phishing,Remote_Work"
25-34,Male,R&D,Entry,1-3 yrs,Hybrid,Contractor,< 3 months,No,4,46,No,Often,Always,Sometimes,Sometimes,No,4,3,4,2,1,1,"Uses_MFA,Early_Password_Change,Personal_Device_Use"
18-24,Female,Marketing,Entry,3-5 yrs,On-site,Permanent,3-6 mo,Yes,2,46,No,Sometimes,Always,Sometimes,Often,No,1,3,5,4,2-3,2,"Uses_MFA,Reports_Phishing,Personal_Device_Use"
25-34,Female,Operations,Manager,1-3 yrs,On-site,Permanent,< 3 months,No,3,85,Yes,Often,Always,Never,Often,No,5,4,1,5,2-3,2,"Uses_MFA,Early_Password_Change,Reports_Phishing"
25-34,Female,Finance,Entry,< 1 yr,Hybrid,Permanent,< 3 months,No,5,81,Yes,Rarely,Never,Sometimes,Never,Yes,3,3,3,2,1,1,"Personal_Device_Use,Admin_Priv"
35-44,Male,HR,Entry,< 1 yr,Fully Remote,Permanent,3-6 mo,No,4,76,Yes,Always,Always,Never,Sometimes,No,2,5,4,3,1,1,"Uses_MFA,Early_Password_Change,Remote_Work"
25-34,Male,Sales,Intermediate,1-3 yrs,On-site,Permanent,3-6 mo,Yes,1,29,No,Rarely,Never,Often,Rarely,No,5,2,5,5,2-3,2,Personal_Device_Use
55+,Female,Operations,Director,> 10 yrs,Fully Remote,Permanent,Never,No,2,45,No,Sometimes,Sometimes,Rarely,Sometimes,No,2,4,4,3,>3,9,"Uses_MFA,Remote_Work"
25-34,Male,Operations,Entry,3-5 yrs,On-site,Permanent,> 12 mo,Yes,3,84,Yes,Sometimes,Sometimes,Never,Rarely,No,5,5,4,4,0,0,Uses_MFA
18-24,Male,Finance,Intermediate,> 10 yrs,On-site,Permanent,3-6 mo,No,5,54,No,Rarely,Never,Never,Rarely,No,3,5,2,4,2-3,2,None
25-34,Female,Operations,Entry,< 1 yr,Fully Remote,Permanent,3-6 mo,No,4,82,Yes,Rarely,Always,Rarely,Often,No,4,1,4,3,0,0,"Uses_MFA,Reports_Phishing,Remote_Work"
45-54,Female,Operations,Manager,3-5 yrs,Fully Remote,Permanent,3-6 mo,Yes,3,55,No,Never,Always,Sometimes,Often,No,2,3,4,3,0,0,"Uses_MFA,Reports_Phishing,Personal_Device_Use,Remote_Work"
25-34,Male,IT,Entry,< 1 yr,Hybrid,Permanent,3-6 mo,No,4,57,No,Rarely,Sometimes,Rarely,Often,Yes,3,5,3,3,0,0,"Uses_MFA,Reports_Phishing,Admin_Priv"
25-34,Male,IT,Entry,1-3 yrs,On-site,Permanent,3-6 mo,Yes,5,87,Yes,Sometimes,Always,Sometimes,Sometimes,No,2,5,3,2,0,0,"Uses_MFA,Personal_Device_Use"
